"vocabulary"	"classes"	"tense"	"meaning"	"idiom"	"sentence"	"association"	"study_time"	"source"	"arrange_time"	"translate"	"num"	
"deport"	"Verb"	"/dɪˈpɔrt/"	"to send someone out of a country, usually because they do not have a legal right to be there"		"Immigrat asks to be deported, citing poverty"	"drive out, banish, send away, starve out, displace, deport, exile, expel, evict, hound"	10/19/2009	"Immigrant asks to be deported, citing poverty"	10/19/2009	"驅逐(出境);放逐"		"http://www.macmillandictionary.com/"
"drive out"	"Phrase"		"to force someone or something to leave a place"		"Government forces have driven the rebels out of the eastern district."	"drive out, banish, send away, starve out, displace, deport, exile, expel, evict, hound"	10/19/2009		10/19/2009	"驅趕"		"http://www.nciku.com.tw"
"banish"	"Verb"	"/ˈbænɪʃ/"	"to officially order someone to leave a country or region as a punishment"	"banish someone from something"	"The king had banished him from the land."	"drive out, banish, send away, starve out, displace, deport, exile, expel, evict, hound"	10/19/2009		10/19/2009	"流放,放逐"		"http://dictionary.cambridge.org/"
"send away"	"Phrase"		"to order someone to leave a place"		"His lawyer was sent away by the security guards."	"drive out, banish, send away, starve out, displace, deport, exile, expel, evict, hound"	10/19/2009		10/19/2009	"趕走; 把...打發走"		"http://www.insightin.com/esl/"
"starve out"	"Phrase"	"/stɑrv/"	"to force someone to leave a place by preventing them from getting enough food"		"If we can’t flush them out, we’ll starve them out."	"drive out, banish, send away, starve out, displace, deport, exile, expel, evict, hound"	10/19/2009		10/19/2009			
"exile"	"Verb"	"/ˈekˌsaɪl/"	"to force someone to live in a foreign country, usually for political reasons"	"exile someone to something"	"Napoleon was first exiled in 1814."	"drive out, banish, send away, starve out, displace, deport, exile, expel, evict, hound"	10/19/2009		10/19/2009	" 流放,放逐"		
"expel"	"Verb"	"/ɪkˈspel/"	"to officially force someone to leave a place or organization because of their bad behavior"	"expel someone from something"	"They have no legal power to expel a party member."	"drive out, banish, send away, starve out, displace, deport, exile, expel, evict, hound"	10/19/2009		10/19/2009	"驅逐,趕走"		
"evict"	"Verb"	"/ɪˈvɪkt/"	"to legally force someone to leave the house they are living in, usually because they have not paid their rent"		"A number of tenants have been evicted for not paying the rent. "	"drive out, banish, send away, starve out, displace, deport, exile, expel, evict, hound"	10/19/2009		10/19/2009	"(房客等)逐出"		
"hound"	"Verb"	"/haʊnd/"	"to force someone to leave a place or job by always being unpleasant to them"		"He claims the media hounded him out of office."	"drive out, banish, send away, starve out, displace, deport, exile, expel, evict, hound"	10/19/2009		10/19/2009	"追逼"		
"cite"	"Verb"	"/saɪt/"	"to mention something as an example, explanation, or proof of something else"		"Bates pulled out of the competition, citing personal reasons."	"dispute, disprove, debunk, explode, repudiate, confound, discredit, refute, disabuse"	10/19/2009	"Immigrant asks to be deported, citing poverty"	10/20/2009	"引用;引...為證;"		
